"imageID";"directoryName";"collectionDate";"acquisitionDate";"plotLocation";"variety";"symptom";"Chl";"Flav";"NBI"
"Fddu9";"2020-09-10_061";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"flavescence doree";9.282;3.925;2.36
"Okdu1";"2020-09-10_062";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"healthy";34.091;3.567;9.56
"Okdu2";"2020-09-10_063";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"healthy";23.312;4.186;5.57
"Okdu3";"2020-09-10_064";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"healthy";32.232;3.542;9.1
"Nodu1";"2020-09-10_065";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"water stress";5.543;4.328;1.28
"Nodu2";"2020-09-10_066";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"buffalo treehopper";21.87;3.519;6.21
"Nodu3";"2020-09-10_067";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"water stress";9.947;3.769;2.64
"Nodu4";"2020-09-10_068";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"green leafhopper";16.227;4.015;4.04
"Nodu5";"2020-09-10_069";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"buffalo treehopper";21.817;4.038;5.4
"Nodu6";"2020-09-10_070";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"deficiency";3.563;3.21;1.11
"Nodu7";"2020-09-10_071";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"buffalo treehopper";14.232;4.125;3.45
"Nodu8";"2020-09-10_072";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"senescence";2.866;3.406;0.84
"Nodu9";"2020-09-10_073";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"green leafhopper";17.422;3.781;4.61
"Nodu10";"2020-09-10_074";"10/09/2020";"10/09/2020";"Rabastens";"Duras";"green leafhopper";23.265;3.757;6.19
"Fdga11";"2020-09-10_075";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";14.129;3.685;3.83
"Fdga12";"2020-09-10_076";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";20.42;4.03;5.07
"Fdga13";"2020-09-10_077";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";15.349;3.945;3.89
"Fdga14";"2020-09-10_078";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";12.926;3.85;3.36
"Fdga15";"2020-09-10_079";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";14.342;3.925;3.65
"Fdga16";"2020-09-10_080";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";15.278;4.487;3.41
"Fdga17";"2020-09-10_081";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";23.628;4.04;5.85
"Fdga18";"2020-09-10_082";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";14.876;3.954;3.76
"Fdga19";"2020-09-10_083";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"flavescence doree";19.049;4.038;4.72
